id,user,password,type
1,usuario1,Password123!,cliente
2,usuario2,Password456!,repartidor
3,usuario3,Pass789,cliente
4,usuario4,pass123456!,repartidor
5,usuario5,12345678A!,cliente
6,usuario6,SuperPass01!,repartidor
7,usuario7,1234,cliente
8,usuario8,Password01repartidor,cliente
9,usuario9,Repartidor#1,cliente
10,usuario10,Contraseña123!,repartidor
11,usuario11,Pass_0001!,cliente
12,usuario12,NoPass123!,repartidor
13,usuario13,123#Pass123,cliente
14,usuario14,AB123456!,repartidor
15,usuario15,12345Pass!,cliente
16,usuario16,Pa$$word321,repartidor
17,usuario17,Secure@123!,cliente
18,usuario18,45678!Password,repartidor
19,usuario19,123ABcd456!,cliente
20,usuario20,Password-Extra,cliente
